,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
200,2018,Punggol,5-room,393000.0,489000.0,388000.0,484000.0,54
202,2018,Sembawang,3-room,165000.0,204000.0,90000.0,129000.0,55
203,2018,Sembawang,4-room,251000.0,304000.0,191000.0,244000.0,55
204,2018,Sembawang,5-room,327000.0,391000.0,322000.0,386000.0,55
205,2018,Sengkang,2-room,99000.0,151000.0,19000.0,71000.0,56
206,2018,Sengkang,3-room,187000.0,242000.0,112000.0,167000.0,56
207,2018,Sengkang,4-room,270000.0,353000.0,210000.0,293000.0,56
208,2018,Sengkang,5-room,362000.0,438000.0,357000.0,433000.0,56
209,2018,Tengah,2-room,101000.0,150000.0,21000.0,70000.0,57
210,2018,Tengah,3-room,193000.0,243000.0,118000.0,168000.0,57
211,2018,Tengah,4-room,290000.0,355000.0,230000.0,295000.0,57
212,2018,Tengah,5-room,397000.0,480000.0,392000.0,475000.0,57
213,2018,Yishun,2-room,75000.0,132000.0,4000.0,52000.0,58
214,2018,Yishun,3-room,170000.0,216000.0,95000.0,141000.0,58
215,2018,Yishun,4-room,248000.0,317000.0,188000.0,257000.0,58
216,2018,Yishun,5-room,334000.0,405000.0,329000.0,400000.0,58
217,2019,Punggol,2-room,109000.0,173000.0,29000.0,93000.0,59
218,2019,Punggol,3-room,205000.0,268000.0,130000.0,193000.0,59
219,2019,Punggol,4-room,287000.0,398000.0,227000.0,338000.0,59
220,2019,Punggol,5-room,423000.0,551000.0,378000.0,506000.0,59
221,2019,Sembawang,2-room,89000.0,141000.0,9000.0,61000.0,60
222,2019,Sembawang,3-room,177000.0,210000.0,102000.0,135000.0,60
223,2019,Sembawang,4-room,272000.0,320000.0,212000.0,260000.0,60
224,2019,Sembawang,5-room,350000.0,406000.0,305000.0,361000.0,60
225,2019,Tengah,2-room,106000.0,167000.0,26000.0,87000.0,61
226,2019,Tengah,3-room,192000.0,256000.0,117000.0,181000.0,61
227,2019,Tengah,4-room,302000.0,381000.0,242000.0,321000.0,61
228,2019,Tengah,5-room,409000.0,510000.0,364000.0,465000.0,61
229,2019,Woodlands,2-room,86000.0,128000.0,6000.0,48000.0,62
230,2019,Woodlands,3-room,165000.0,194000.0,90000.0,119000.0,62
231,2019,Woodlands,4-room,244000.0,295000.0,184000.0,235000.0,62
232,2019,Woodlands,5-room,336000.0,383000.0,331000.0,378000.0,62
233,2020,Bukit Batok,2-room,101000.0,144000.0,21000.0,64000.0,63
234,2020,Bukit Batok,3-room,175000.0,221000.0,100000.0,146000.0,63
235,2020,Bukit Batok,4-room,260000.0,334000.0,200000.0,274000.0,63
236,2020,Bukit Batok,5-room,384000.0,460000.0,339000.0,415000.0,63
237,2020,Choa Chu Kang,2-room,99000.0,143000.0,19000.0,63000.0,64
238,2020,Choa Chu Kang,3-room,164000.0,214000.0,89000.0,139000.0,64
239,2020,Choa Chu Kang,4-room,253000.0,326000.0,193000.0,266000.0,64
241,2020,Sembawang,2-room,92000.0,122000.0,12000.0,42000.0,65
242,2020,Sembawang,3-room,163000.0,189000.0,88000.0,114000.0,65
243,2020,Sembawang,4-room,260000.0,302000.0,200000.0,242000.0,65
244,2020,Sembawang,5-room,336000.0,388000.0,291000.0,343000.0,65
245,2020,Tengah,2-room,108000.0,167000.0,28000.0,87000.0,66
246,2020,Tengah,3-room,194000.0,248000.0,119000.0,173000.0,66
247,2020,Tengah,4-room,288000.0,366000.0,228000.0,306000.0,66
248,2020,Tengah,5-room,394000.0,489000.0,349000.0,444000.0,66
249,2020,Woodlands,2-room,90000.0,162000.0,10000.0,82000.0,67
250,2020,Woodlands,3-room,184000.0,228000.0,109000.0,153000.0,67
251,2020,Woodlands,4-room,276000.0,381000.0,216000.0,321000.0,67
252,2020,Woodlands,5-room,405000.0,516000.0,360000.0,471000.0,67
253,2021,Hougang,2-room,108000.0,234000.0,28000.0,154000.0,68
254,2021,Hougang,3-room,199000.0,340000.0,124000.0,265000.0,68
255,2021,Hougang,4-room,308000.0,507000.0,248000.0,447000.0,68
256,2021,Hougang,5-room,392000.0,495000.0,347000.0,450000.0,68
257,2021,Jurong East,2-room,121000.0,189000.0,41000.0,109000.0,69
258,2021,Jurong East,3-room,237000.0,281000.0,162000.0,206000.0,69
259,2021,Jurong East,4-room,347000.0,436000.0,287000.0,376000.0,69
262,2021,Jurong West,3-room,173000.0,229000.0,98000.0,154000.0,70
263,2021,Jurong West,4-room,264000.0,321000.0,204000.0,261000.0,70
265,2021,Tengah,2-room,113000.0,190000.0,33000.0,110000.0,71
266,2021,Tengah,3-room,194000.0,273000.0,119000.0,198000.0,71
267,2021,Tengah,4-room,299000.0,403000.0,239000.0,343000.0,71
268,2021,Tengah,5-room,404000.0,525000.0,359000.0,480000.0,71
269,2021,Woodlands,2-room,98000.0,148000.0,18000.0,68000.0,72
270,2021,Woodlands,3-room,185000.0,219000.0,110000.0,144000.0,72
271,2021,Woodlands,4-room,275000.0,373000.0,215000.0,313000.0,72
272,2021,Woodlands,5-room,372000.0,491000.0,327000.0,446000.0,72
273,2021,Yishun,2-room,95000.0,149000.0,15000.0,69000.0,73
274,2021,Yishun,3-room,180000.0,248000.0,105000.0,173000.0,73
275,2021,Yishun,4-room,270000.0,374000.0,210000.0,314000.0,73
276,2021,Yishun,5-room,358000.0,490000.0,340000.0,445000.0,73
277,2022,Bukit Batok,2-room,105000.0,169000.0,25000.0,89000.0,74
278,2022,Bukit Batok,3-room,206000.0,26900.0,13100.0,194000.0,74
279,2022,Bukit Batok,4-room,309000.0,392000.0,249000.0,332000.0,74
280,2022,Bukit Batok,5-room,495000.0,522000.0,360000.0,477000.0,74
281,2022,Choa Chu Kang,2-room,102000.0,160000.0,22000.0,80000.0,75
282,2022,Choa Chu Kang,3-room,194000.0,243000.0,119000.0,168000.0,75
283,2022,Choa Chu Kang,4-room,277000.0,363000.0,217000.0,303000.0,75
284,2022,Choa Chu Kang,5-room,390000.0,508000.0,345000.0,463000.0,75
285,2022,Jurong East,2-room,97000.0,170000.0,17000.0,90000.0,76
286,2022,Jurong East,3-room,194000.0,245000.0,119000.0,170000.0,76
287,2022,Jurong East,4-room,283000.0,388000.0,223000.0,328000.0,76
288,2022,Jurong East,5-room,,,,,76
289,2022,Jurong West,2-room,107000.0,180000.0,27000.0,100000.0,77
290,2022,Jurong West,3-room,187000.0,265000.0,112000.0,190000.0,77
291,2022,Jurong West,4-room,288000.0,393000.0,228000.0,333000.0,77
292,2022,Jurong West,5-room,412000.0,526000.0,367000.0,481000.0,77
293,2022,Tengah,2-room,97000.0,174000.0,17000.0,94000.0,78
294,2022,Tengah,3-room,190000.0,262000.0,115000.0,187000.0,78
295,2022,Tengah,4-room,291000.0,397000.0,231000.0,337000.0,78
296,2022,Tengah,5-room,401000.0,536000.0,356000.0,491000.0,78
297,2022,Woodlands,2-room,98000.0,154000.0,18000.0,74000.0,79
298,2022,Woodlands,3-room,188000.0,228000.0,113000.0,153000.0,79
299,2022,Woodlands,4-room,303000.0,363000.0,243000.0,303000.0,79
300,2022,Woodlands,5-room,,,,,79
301,2022,Yishun,2-room,84000.0,184000.0,5000.0,104000.0,80
302,2022,Yishun,3-room,175000.0,229000.0,1000000.0,154000.0,80
303,2022,Yishun,4-room,248000.0,418000.0,188000.0,358000.0,80
304,2022,Yishun,5-room,366000.0,595000.0,321000.0,550000.0,80
305,2023,Bukit Panjang,2-room,110000.0,190000.0,30000.0,110000.0,81
306,2023,Bukit Panjang,3-room,,,,,81
307,2023,Bukit Panjang,4-room,320000.0,426000.0,260000.0,366000.0,81
308,2023,Bukit Panjang,5-room,,,,,81
309,2023,Choa Chu Kang,2-room,102000.0,168000.0,22000.0,88000.0,82
310,2023,Choa Chu Kang,3-room,202000.0,272000.0,127000.0,197000.0,82
311,2023,Choa Chu Kang,4-room,300000.0,437000.0,240000.0,377000.0,82
312,2023,Choa Chu Kang,5-room,463000.0,595000.0,418000.0,550000.0,82
313,2023,Hougang ,2-room,136000.0,177000.0,56000.0,97000.0,83
314,2023,Hougang,3-room,247000.0,294000.0,172000.0,219000.0,83
315,2023,Hougang,4-room,371000.0,432000.0,311000.0,372000.0,83
316,2023,Hougang,5-room,,,,,83
317,2023,Jurong West,2-room,110000.0,174000.0,30000.0,94000.0,84
318,2023,Jurong West,3-room,207000.0,277000.0,132000.0,202000.0,84
319,2023,Jurong West,4-room,315000.0,394000.0,255000.0,334000.0,84
320,2023,Jurong West,5-room,431000.0,540000.0,386000.0,495000.0,84
321,2023,Punggol,2-room,131000.0,221000.0,51000.0,141000.0,85
322,2023,Punggol,3-room,242000.0,296000.0,167000.0,221000.0,85
323,2023,Punggol,4-room,318000.0,429000.0,258000.0,369000.0,85
324,2023,Punggol,5-room,464000.0,582000.0,419000.0,537000.0,85
